16015301,Nachname,Vorname,01.01.1999 00:00:00,BFI10A,2017/18,14.09.2015 00:00:00,m,ev
16015302,Nachname,Vorname,01.02.1999 00:00:00,BFI11A,2017/18,14.09.2015 00:00:00,w,rk
16015303,Nachname,Vorname,01.03.1999 00:00:00,BFI12A,2017/18,14.09.2015 00:00:00,m,ev
16015304,Nachname,Vorname,01.04.1999 00:00:00,BFI10B,2017/18,14.09.2015 00:00:00,w,bl
16015305,Nachname,Vorname,02.01.1999 00:00:00,BFI11B,2017/18,14.09.2015 00:00:00,m,ev
16015306,Nachname,Vorname,03.01.1999 00:00:00,BFI12B,2017/18,14.09.2015 00:00:00,m,ev
16015307,Nachname,Vorname,04.10.1998 00:00:00,FWI1,2017/18,14.09.2015 00:00:00,w,rk
16015308,Nachname,Vorname,01.01.2000 00:00:00,FWI2,2017/18,14.09.2015 00:00:00,m,ev
16015309,Test,Test,01.01.2000 00:00:00,FWI1,2017/18,14.09.2015 00:00:00,m,ev
16015310,Test2,Test2,01.01.2000 00:00:00,FWI1,2017/18,14.09.2015 00:00:00,m,ev
